paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,"Stage {1,2,3,4}",track https://acl2020.org/blog/general-conference-statistics/,"social good domain {bias mitigation, education, equality, fighting misinformation, green NLP, healthcare, interpretability, legal applications, low-resource language, mental healthcare, robustness, science literature parsing, and others}",author
Learning to Contextually Aggregate Multi-Source Supervision for Sequence Labeling,3,information extraction,,"Ouyu Lan, Xiao Huang, Bill Yuchen Lin, He Jiang, Liyuan Liu and Xiang Ren"
Meta-Reinforced Multi-Domain State Generator for Dialogue Systems,3,dialog,,"Yi Huang, Junlan Feng, Min Hu, Xiaoting Wu, Xiaoyu Du and Shuo Ma"
Adaptive Compression of Word Embeddings,2,word meaning,,"Yeachan Kim, Kang-Min Kim and SangKeun Lee"
Unsupervised Cross-lingual Representation Learning at Scale,2,text representation; machine translation,,"Alexis Conneau, Kartikay Khandelwal, Naman Goyal, Vishrav Chaudhary, Guillaume Wenzek, Francisco Guzmán, Edouard Grave, Myle Ott, Luke Zettlemoyer and Veselin Stoyanov"
Neural CRF Model for Sentence Alignment in Text Simplification,3,simplification,,"Chao Jiang, Mounica Maddela, Wuwei Lan, Yang Zhong and Wei Xu"
IMoJIE: Iterative Memory-Based Joint Open Information Extraction,2,information extraction,,"Keshav Kolluru, Samarth Aggarwal, Vipul Rathore, Mausam - and Soumen Chakrabarti"
USR: An Unsupervised and Reference Free Evaluation Metric for Dialog Generation,3,dialog,,Shikib Mehri and Maxine Eskenazi
Selective Question Answering under Domain Shift,3,question answering,,"Amita Kamath, Robin Jia and Percy Liang"
Moving Down the Long Tail of Word Sense Disambiguation with Gloss Informed Bi-encoders,2,word meaning,,Terra Blevins and Luke Zettlemoyer
A Graph Auto-encoder Model of Derivational Morphology,2,morphology,,"Valentin Hofmann, Hinrich Schütze and Janet Pierrehumbert"
A Reinforced Generation of Adversarial Examples for Neural Machine Translation,2,machine translation; robustness,robustness,"Wei Zou, Shujian Huang, Jun Xie, Xinyu Dai and Jiajun Chen"
Hiring Now: A Skill-Aware Multi-Attention Model for Job Posting Generation,4,data-to-text generation; jobs,jobs,"Liting Liu, Jie Liu, Wenzheng Zhang, Ziming Chi, Wenxuan Shi and Yalou Huang"
Max-Margin Incremental CCG Parsing,2,syntax parsing,,Miloš Stanojević and Mark Steedman
Paraphrase Augmented Task-Oriented Dialog Generation,3,dialog,,"Silin Gao, Yichi Zhang, Zhijian Ou and Zhou Yu"
Conversational Graph Grounded Policy Learning for Open-Domain Conversation Generation,3,dialog,,"Jun Xu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu"
Towards Debiasing Sentence Representations,2,bias; text representation,bias,"Paul Pu Liang, Irene Mengze Li, Emily Zheng, Yao Chong Lim, Ruslan Salakhutdinov and Louis-Philippe Morency"
Mind the Trade-off: Debiasing NLU Models without Degrading the In-distribution Performance,2,bias,bias,"Prasetya Ajie Utama, Nafise Sadat Moosavi and Iryna Gurevych"
Screenplay Summarization Using Latent Narrative Structure,4,summarization,,"Pinelopi Papalampidi, Frank Keller, Lea Frermann and Mirella Lapata"
Language (technology) is power: The need to be explicit about NLP harms,4,ethics,ethics,"Su Lin Blodgett, Solon Barocas, Hal Daumé III and Hanna Wallach"
Improving Image Captioning Evaluation by Considering Inter References Variance,3,caption generation,,"Yanzhi Yi, Hangyu Deng and Jinglu Hu"
How to Ask Good Questions? Try to Leverage Paraphrases,3,question answering,,"Xin Jia, Wenjie Zhou, Xu Sun and Yunfang Wu"
Do Neural Models Learn Systematicity of Monotonicity Inference in Natural Language?,2,inference,,"Hitomi Yanaka, Koji Mineshima, Daisuke Bekki and Kentaro Inui"
Gender in Danger? Evaluating Speech Translation Technology on the MuST-SHE Corpus,3,bias; speech; machine translation,bias,"Luisa Bentivogli, Beatrice Savoldi, Matteo Negri, Mattia A. Di Gangi, Roldano Cattoni and Marco Turchi"
Rationalizing Text Matching: Learning Sparse Alignments via Optimal Transport,2,matching,,"Kyle Swanson, Lili Yu and Tao Lei"
Line Graph Enhanced AMR-to-Text Generation with Mix-Order Graph Attention Networks,2,generation,,"Yanbin Zhao, Lu Chen, Zhi Chen, Ruisheng Cao, Su Zhu and Kai Yu"
Towards Faithful Neural Table-to-Text Generation with Content-Matching Constraints,3,data-to-text generation,,"Zhenyi Wang, Xiaoyang Wang, Bang An, Dong Yu and Changyou Chen"
HyperCore: Hyperbolic and Co-graph Representation for Automatic ICD Coding,4,healthcare,healthcare,"Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao, Shengping Liu and Weifeng Chong"
MuTual: A Dataset for Multi-Turn Dialogue Reasoning,3,dialog; question answering,,"Leyang Cui, Yu Wu, Shujie Liu, Yue Zhang and Ming Zhou"
Relabel the Noise: Joint Extraction of Entities and Relations via Cooperative Multiagents,2,information extraction,,"Daoyuan Chen, Yaliang Li, Kai Lei and Ying Shen"
QuASE: Question-Answer Driven Sentence Encoding,2,text representation,,"Hangfeng He, Qiang Ning and Dan Roth"
NILE : Natural Language Inference with Faithful Natural Language Explanations,3,NLI; interpretability,interpretability,Sawan Kumar and Partha Talukdar
A Prioritization Model for Suicidality Risk Assessment,4,mental healthcare,mental health,"Han-Chin Shing, Philip Resnik and Douglas Oard"
Human Attention Maps for Text Classification: Do Humans and Neural Networks Focus on the Same Words?,3,sentiment and argument analysis; interpretability,interpretability,"Cansu Sen, Thomas Hartvigsen, Biao Yin, Xiangnan Kong and Elke Rundensteiner"
S2ORC: The Semantic Scholar Open Research Corpus,2,information extraction,,"Kyle Lo, Lucy Wang, Mark Neumann, Rodney Kinney and Daniel Weld"
Knowledge Distillation for Multilingual Unsupervised Neural Machine Translation,3,machine translation,,"Haipeng Sun, Rui Wang, Kehai Chen, Masao Utiyama, Eiichiro Sumita and Tiejun Zhao"
A Multitask Learning Approach for Diacritic Restoration,2,low-resource,low-resource,"Sawsan Alqahtani, Ajay Mishra and Mona Diab"
The Cascade Transformer: an Application for Efficient Answer Sentence Selection,3,question answering,,Luca Soldaini and Alessandro Moschitti
Probabilistically Masked Language Model Capable of Autoregressive Generation in Arbitrary Word Order,2,language modeling,,"Yi Liao, Xin Jiang and Qun Liu"
2kenize: Tying Subword Sequences for Chinese Script Conversion,2,machine translation,,Pranav A and Isabelle Augenstein
Optimizing the Factual Correctness of a Summary: A Study of Summarizing Radiology Reports,4,summarization; misinformation; healthcare,misinformation; healthcare,"Yuhao Zhang, Derek Merck, Emily Tsai, Christopher D. Manning and Curtis Langlotz"
How Accents Confound: Probing for Accent Information in End-to-End Speech Recognition Systems,2,speech; low-resource,low-resource,Archiki Prasad and Preethi Jyothi
Not All Claims are Created Equal: Choosing the Right Statistical Approach to Assess Hypotheses,2,metrics,,"Erfan Sadeqi Azer, Daniel Khashabi, Ashish Sabharwal and Dan Roth"
Can You Put it All Together: Evaluating Conversational Agents’ Ability to Blend Skills,3,dialog,,"Eric Michael Smith, Mary Williamson, Kurt Shuster, Jason Weston and Y-Lan Boureau"
Detecting Perceived Emotions in Hurricane Disasters,4,emotion detection; social media,,"Shrey Desai, Cornelia Caragea and Junyi Jessy Li"
AMR Parsing via Graph-Sequence Iterative Inference,2,semantic parsing,,Deng Cai and Wai Lam
Predicting the Growth of Morphological Families from Social and Linguistic Factors,2,morphology,,"Valentin Hofmann, Janet Pierrehumbert and Hinrich Schütze"
Guiding Variational Response Generator to Exploit Persona,3,dialog,,"Bowen Wu, Mengyuan Li, Zongsheng Wang, Yifu Chen, Derek F. Wong, Qihang Feng, Junhong Huang and Baoxun Wang"
Probing for referential information in language models,2,language modeling; interpretability,,"Ionut-Teodor Sorodoc, Kristina Gulordava and Gemma Boleda"
FastBERT: a Self-distilling BERT with Adaptive Inference Time,2,model architecture,,"Weijie Liu, Peng Zhou, Zhiruo Wang, Zhe Zhao, Haotang Deng and QI JU"
Calibrating Structured Output Predictors for Natural Language Processing,2,information extraction,,Abhyuday Jagannatha and Hong Yu
How Does Selective Mechanism Improve Self-Attention Networks?,2,model architecture,,"Xinwei Geng, Longyue Wang, Xing Wang, Bing Qin, Ting Liu and Zhaopeng Tu"
A Girl Has A Name: Detecting Authorship Obfuscation,3,authorship identification,,"Asad Mahmood, Zubair Shafiq and Padmini Srinivasan"
Expertise Style Transfer: A New Task Towards Better Communication between Experts and Laymen,3,style transfer; healthcare,healthcare,"Yixin Cao, Ruihao Shui, Liangming Pan, Min-Yen Kan, Zhiyuan Liu and Tat-Seng Chua"
What Question Answering can Learn from Trivia Nerds,2,question answering,,Jordan Boyd-Graber and Benjamin Börschinger
CorefQA: Coreference Resolution as Query-based Span Prediction,2,coreference,,"Wei Wu, Fei Wang, Arianna Yuan, Fei Wu and Jiwei Li"
CDL: Curriculum Dual Learning for Emotion-Controllable Response Generation,3,dialog,,Lei Shen and Yang Feng
Robust Encodings: A Framework for Combating Adversarial Typos,2,robustness,,"Erik Jones, Robin Jia, Aditi Raghunathan and Percy Liang"
Unsupervised Alignment-based Iterative Evidence Retrieval for Multi-hop Question Answering,3,question answering,,"Vikas Yadav, Steven Bethard and Mihai Surdeanu"
Investigating Word-Class Distributions in Word Vector Spaces,2,word meaning,,Ryohei Sasano and Anna Korhonen
